in:Altura [m],in:Apertura [%],in:Materiales,out:Energia [kWh/m2],out:UDI300 [%],out:UDI+ [%],out:DA500 [%],out:DA1000 [%],out:Valor m2/p [COP],img_1
3,0.15,CS,11.9,85.6,14.4,97.1,69,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales4_c.png
4,0.15,CS,11.9,88.9,10.9,95.6,67,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales4_c.png
5,0.15,CS,11.9,88.7,10.6,93.1,59.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales4_c.png
6,0.15,CS,11.9,87.5,11.1,89.4,54.2,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales4_c.png
8,0.15,CS,11.9,89.3,8.8,83.8,44.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales4_c.png
10,0.15,CS,11.9,89.7,5.1,73.7,34.3,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales4_c.png
3,0.2,CS,15.8,78.7,21.3,99.6,85.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales4_c.png
4,0.2,CS,15.8,79.2,20.7,99.1,82.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales4_c.png
5,0.2,CS,15.8,82.7,17.3,98.9,78,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales4_c.png
6,0.2,CS,15.8,84.3,15.2,96.8,70.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales4_c.png
8,0.2,CS,15.8,87.9,11.9,94.3,60.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales4_c.png
10,0.2,CS,15.8,92.3,7.2,89.9,47.7,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales4_c.png
3,0.25,CS,19.8,67,33,100,93.7,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales4_c.png
4,0.25,CS,19.8,70.2,29.7,99.9,91.5,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales4_c.png
5,0.25,CS,19.8,74.4,25.6,99.8,87.5,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales4_c.png
6,0.25,CS,19.8,76.8,23.1,99.5,83.9,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales4_c.png
8,0.25,CS,19.8,83.2,16.8,98.2,73.8,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales4_c.png
10,0.25,CS,19.8,88.8,11,96.1,63.6,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales4_c.png
3,0.3,CS,23.7,57.5,42.5,100,97.3,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales4_c.png
4,0.3,CS,23.7,58.7,41.3,100,96,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales4_c.png
5,0.3,CS,23.7,64.1,35.9,100,93.5,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales4_c.png
6,0.3,CS,23.7,68.4,31.6,100,90.5,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales4_c.png
