in:Altura [m],in:Apertura [%],in:Materiales,out:Energía [kWh/m2],out:ASE250 [%Area],out:UDI300 [%],out:UDI+ [%],out:DA300 [%],out:DA500 [%],out:DA750 [%],out:DA1000 [%],out:DA1250 [%],out:Valor m2/p [COP],img_1
5,0.15,S,10.6,39.7,87.7,12.1,99.8,96.5,84.7,68.9,55.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales3_c.png
6,0.15,S,10.6,42.5,88,11.7,99.7,93.8,77.9,62,49.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales3_c.png
8,0.15,S,10.6,34.2,89.9,8.7,98.7,88.6,66.6,48.2,36.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales3_c.png
10,0.15,S,10.6,23,92.4,5.2,97.7,81.3,56.7,40.6,30,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales3_c.png
3,0.2,S,14.1,55.7,72.5,27.5,100,100,97.8,91.6,82.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales3_c.png
4,0.2,S,14.1,62.8,75.1,24.9,100,99.8,96.6,89.6,79.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales3_c.png
5,0.2,S,14.1,53,78.9,21,99.9,99.5,94.6,85.2,73.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales3_c.png
6,0.2,S,14.1,51,81.6,18.3,99.9,98.7,91.2,79.4,66.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales3_c.png
8,0.2,S,14.1,42.6,86.4,13.4,99.7,96.7,84.3,67.3,55,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales3_c.png
10,0.2,S,14.1,30,91,8.5,99.5,94,76.4,58.1,46.4,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales3_c.png
3,0.25,S,17.6,73.9,61,39,100,100,99.5,96.9,91.3,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales3_c.png
4,0.25,S,17.6,76,62.3,37.7,100,100,99.3,95.2,89.2,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales3_c.png
5,0.25,S,17.6,65.1,67.3,32.7,100,100,98.1,92,85,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales3_c.png
6,0.25,S,17.6,64.4,71.8,28,99.9,99.7,96.7,89.4,79.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales3_c.png
8,0.25,S,17.6,54.2,79.8,20.1,99.9,99.3,93.3,81.9,68.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales3_c.png
10,0.25,S,17.6,36.8,85.6,14.3,99.9,98.3,88,72.1,58.7,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales3_c.png
3,0.3,S,21.1,99.3,48.1,51.9,100,100,100,98.8,96.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales3_c.png
4,0.3,S,21.1,89.3,48,51.9,100,100,99.9,98.2,94.3,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales3_c.png
5,0.3,S,21.1,82.3,54.1,45.9,100,100,99.5,96.7,91.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales3_c.png
6,0.3,S,21.1,78.8,60.3,39.7,100,100,99,94.7,87.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales3_c.png
8,0.3,S,21.1,63.8,71.1,28.9,100,100,97.2,89.5,79.6,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales3_c.png
10,0.3,S,21.1,44.5,77.4,22.6,100,99.7,94.6,83.5,69.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales3_c.png
3,0.05,CS,4,23.8,68.2,5.2,73.4,36.8,15.7,9,6.7,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales4_c.png
4,0.05,CS,4,7.4,67,1.9,68.9,33.3,12.9,5.4,3.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales4_c.png
5,0.05,CS,4,10.3,59,2.9,61.9,32.7,13.3,6.8,4.2,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales4_c.png
6,0.05,CS,4,16.7,50.9,4.1,55,27.5,13.4,7.8,5.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales4_c.png
8,0.05,CS,4,11.3,38.3,2.5,40.8,18.8,6.8,4,2.9,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales4_c.png
